30 30
爷口口口口口口口口口口口口口口一口口口口口口口口口口口口口口
口口口口口口口口口口口口口口三口二口口口口口口口口口口口口口
口口口口口口口口口口口口口五口口口四口口口口口口口口口口口口
口口口口口口口口口口口口七口口口口口六口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口蝎口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
蛇口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
move:1 16,2 16
move:21 10,20 10
move:18 11,17 11
move:20 11,19 11
move:19 10,18 10
move:16 11,15 11
move:15 10,14 10
move:9 15,10 15
move:10 16,11 16
move:14 10,13 10
move:15 11,14 11
move:18 10,17 10
move:19 11,18 11
move:17 11,16 11
move:20 10,19 10
move:10 14,11 14
move:16 10,15 10
move:20 0,19 0
move:11 13,12 13
move:11 17,12 17
move:9 0,10 0
move:12 12,13 12
move:12 18,13 18
move:10 15,11 15
move:11 16,12 16
move:13 18,14 18
move:13 12,14 12
move:10 0,11 0
move:12 17,13 17
move:12 13,13 13
kill:14 12
move:19 0,18 0
move:15 10,14 10
move:11 14,12 14
move:19 10,18 10
move:17 10,16 10
move:16 11,15 11
move:18 11,17 11
move:14 11,13 11
move:13 10,12 10
move:11 15,12 15
move:12 16,13 16
move:18 0,17 0
move:13 13,13 12
kill:13 11
move:13 17,12 17
move:11 0,12 0
move:14 18,15 18
move:17 11,16 11
move:16 10,15 10
move:18 10,17 10
move:12 14,12 13
move:15 11,14 11
move:12 10,12 11
move:14 10,13 10
move:16 11,15 11
move:15 10,14 10
move:17 10,16 10
move:12 13,12 12
move:15 18,15 17
move:12 0,13 0
move:12 17,12 16
move:17 0,16 0
move:13 16,14 16
kill:12 11
move:12 15,13 15
move:13 10,12 10
move:16 10,15 10
move:12 12,11 12
move:13 12,13 13
move:15 11,16 11
move:15 17,16 17
move:14 10,13 10
move:13 0,14 0
move:12 16,12 15
move:16 0,15 0
move:13 15,13 14
move:14 16,14 15
kill:14 0
move:12 10,11 10
move:14 11,15 11
move:14 15,15 15
move:13 14,12 14
move:15 0,15 1
move:12 15,13 15
move:13 13,13 12
move:16 17,16 16
move:13 10,14 10
move:16 11,16 12
move:15 10,15 9
move:11 12,11 11
kill:11 10
move:15 11,14 11
move:15 1,14 1
move:12 14,13 14
move:13 15,14 15
move:15 15,16 15
move:13 12,12 12
move:16 16,17 16
move:15 9,14 9
move:14 10,13 10
move:16 12,16 13
move:11 11,11 12
move:14 11,14 10
move:13 10,12 10
move:11 12,10 12
move:16 13,16 14
move:14 9,13 9
kill:16 14
move:17 16,16 16
move:14 1,13 1
move:12 12,12 13
move:14 15,14 14
move:16 15,15 15
move:13 14,13 13
move:14 10,13 10
move:13 9,13 8
move:10 12,11 12
move:16 16,15 16
move:13 1,13 2
move:12 13,12 12
move:14 14,13 14
move:15 15,14 15
move:13 13,13 12
move:13 10,14 10
move:13 8,13 9
move:12 10,12 9
move:11 12,11 13
move:15 16,14 16
move:13 2,13 3
move:12 12,12 13
move:13 14,13 13
move:14 15,14 14
move:14 10,13 10
move:13 3,13 4
move:14 16,13 16
move:11 13,10 13
move:13 13,14 13
move:13 9,14 9
move:12 9,12 10
move:12 13,12 12
move:14 14,13 14
move:13 12,13 13
move:13 10,14 10
move:13 14,12 14
move:13 13,12 13
move:12 12,11 12
move:12 10,12 9
move:14 9,14 8
move:13 16,14 16
move:14 13,14 14
move:10 13,11 13
move:13 4,12 4
move:14 10,14 11
move:12 4,12 5
move:14 14,14 13
move:11 13,10 13
move:14 16,14 15
move:14 8,14 9
move:12 9,12 10
move:12 13,12 12
move:12 14,12 13
move:11 12,11 11
move:14 11,15 11
move:14 9,14 10
move:12 5,12 6
move:10 13,11 13
move:14 15,14 14
move:12 10,12 9
move:12 13,13 13
move:12 12,12 13
move:11 11,11 12
move:14 13,15 13
move:15 11,15 12
kill:15 12
move:14 14,14 13
move:14 10,13 10
move:11 13,10 13
move:12 9,12 10
move:12 13,12 12
move:13 13,13 12
move:15 13,15 14
move:11 12,11 11
move:12 6,12 7
move:12 7,12 8
move:15 14,14 14
move:11 11,11 12
move:13 12,13 13
move:13 10,14 10
move:14 13,15 13
move:10 13,11 13
move:11 13,12 13
move:15 13,14 13
move:12 10,12 9
move:14 10,14 11
move:12 12,13 12
move:11 12,12 12
move:14 14,13 14
move:12 8,11 8
move:12 9,12 10
move:14 11,14 10
move:12 13,12 14
move:14 13,15 13
move:12 12,12 13
move:13 13,14 13
move:13 14,14 14
move:11 8,12 8
move:14 10,13 10
move:13 12,13 13
move:15 13,16 13
move:12 10,12 9
move:14 14,13 14
move:12 8,13 8
move:14 13,14 14
move:12 13,11 13
move:12 14,11 14
move:12 9,13 9
move:16 13,15 13
move:13 10,14 10
move:13 8,12 8
move:13 13,14 13
move:13 14,12 14
move:11 13,12 13
move:14 14,13 14
move:11 14,10 14
move:14 10,14 11
move:13 9,14 9
move:12 8,12 9
move:14 13,13 13
move:15 13,14 13
move:13 14,14 14
move:12 14,12 15
move:10 14,11 14
move:12 9,12 10
move:14 11,15 11
move:13 13,13 14
move:14 9,14 10
move:12 13,12 12
move:14 13,15 13
move:12 15,12 14
move:14 14,15 14
move:11 14,11 15
move:11 15,12 15
move:12 14,12 13
move:15 14,14 14
move:15 13,15 14
move:12 12,13 12
move:12 10,13 10
move:14 10,14 11
move:15 11,15 10
move:13 14,12 14
move:12 13,13 13
move:12 15,13 15
move:13 12,12 12
move:14 14,14 13
move:13 10,13 9
move:15 14,15 13
move:15 10,15 11
move:12 14,13 14
move:12 12,13 12
move:13 13,12 13
move:15 13,15 14
move:14 13,13 13
move:13 9,13 10
move:15 11,16 11
move:14 11,14 10
move:13 15,14 15
move:13 14,14 14
move:12 13,12 12
move:13 10,12 10
move:15 14,15 15
move:16 11,15 11
move:14 10,13 10
move:14 15,13 15
move:14 14,15 14
move:13 13,13 14
move:15 11,16 11
move:15 15,16 15
move:12 10,12 9
move:13 15,13 16
move:13 10,14 10
move:12 12,11 12
move:13 14,13 13
move:15 14,14 14
move:16 11,15 11
move:13 16,14 16
move:16 15,15 15
move:12 9,11 9
move:11 12,12 12
move:13 13,14 13
move:14 14,15 14
move:13 12,13 13
move:14 10,14 11
move:15 14,15 13
move:13 13,13 14
move:15 11,15 10
move:14 11,14 10
move:12 12,13 12
move:11 9,12 9
move:15 15,15 14
move:14 16,14 15
move:15 10,15 11
move:14 10,14 11
move:13 12,13 13
move:13 14,14 14
move:12 9,13 9
move:15 13,16 13
move:15 14,15 13
move:14 15,13 15
move:13 15,14 15
move:15 13,15 14
move:13 9,13 10
move:14 13,15 13
move:14 14,14 13
move:16 13,16 12
move:15 11,16 11
move:13 13,12 13
kill:16 11
move:14 11,15 11
move:13 10,12 10
move:15 13,16 13
move:14 13,15 13
move:12 13,12 12
move:14 15,15 15
move:15 11,15 10
move:15 14,14 14
move:16 13,17 13
move:15 13,14 13
move:12 10,12 9
move:16 12,17 12
move:12 12,13 12
move:15 15,15 14
move:15 10,16 10
move:14 14,14 15
move:17 13,16 13
move:14 13,15 13
move:12 9,13 9
move:17 12,16 12
move:13 12,13 13
move:16 10,17 10
move:14 15,13 15
move:16 13,17 13
move:15 13,16 13
move:13 9,13 10
move:16 12,17 12
move:13 13,13 12
move:15 14,15 15
move:17 10,17 11
kill:17 11
move:13 15,13 14
move:16 13,15 13
move:15 15,14 15
move:13 12,13 13
move:17 12,16 12
move:13 10,14 10
move:17 13,16 13
move:13 14,14 14
move:15 13,14 13
move:14 15,13 15
move:14 10,14 11
move:13 13,13 14
move:14 14,14 15
move:16 13,15 13
move:14 13,14 14
move:13 14,13 13
move:16 12,17 12
move:14 11,15 11
move:13 15,12 15
move:14 15,15 15
move:15 13,15 14
move:14 14,14 15
move:12 15,13 15
move:15 11,14 11
move:13 13,14 13
move:17 12,16 12
move:15 15,16 15
move:15 14,14 14
move:14 15,14 16
move:13 15,14 15
move:16 12,17 12
move:14 13,13 13
move:14 11,14 10
move:16 15,15 15
move:14 14,14 13
move:14 16,14 17
move:14 15,14 14
move:14 10,14 11
move:13 13,13 12
move:17 12,16 12
move:15 15,14 15
move:14 13,13 13
move:14 17,14 16
move:16 12,16 13
move:14 11,14 10
move:14 14,14 13
move:14 15,14 14
move:13 13,13 14
move:14 16,14 15
move:14 13,15 13
move:13 12,12 12
move:16 13,16 12
move:14 10,15 10
move:14 14,15 14
move:13 14,14 14
move:14 15,15 15
move:15 10,16 10
move:15 13,16 13
move:16 12,17 12
move:12 12,13 12
move:14 14,14 13
move:15 15,16 15
move:16 13,16 12
move:13 12,13 13
move:16 10,16 9
move:17 12,17 13
move:15 14,14 14
move:14 13,15 13
move:16 15,16 16
move:17 13,16 13
move:13 13,14 13
move:16 12,17 12
move:16 9,16 10
move:14 14,15 14
move:16 16,16 15
move:16 13,16 12
move:14 13,14 14
move:16 10,17 10
move:17 12,17 13
move:15 14,15 15
move:15 13,16 13
move:16 15,17 15
move:16 12,17 12
move:17 10,16 10
move:14 14,15 14
move:17 13,17 14
move:15 15,16 15
move:16 13,16 12
move:17 15,18 15
move:17 14,17 15
move:17 12,18 12
move:15 14,14 14
move:16 10,16 9
move:16 15,15 15
move:16 12,17 12
move:18 15,19 15
move:17 15,16 15
move:14 14,15 14
move:16 9,17 9
move:18 12,19 12
move:15 15,14 15
move:17 12,18 12
move:19 15,18 15
move:16 15,17 15
move:17 9,18 9
move:19 12,19 11
move:15 14,14 14
move:14 15,15 15
move:18 12,18 11
move:18 15,18 14
move:18 9,18 10
move:14 14,15 14
move:17 15,18 15
move:19 11,20 11
kill:18 10
